name,affiliation,email_domain,interests,citedby,scholar_id
Iñigo J. Losada,"Professor of Civil Engineering,  “IHCantabria”, Universidad de Cantabria",@unican.es,"['Coastal Engineering', 'Ocean Engineering', 'Climate Change', 'Marine Renewables', 'Civil Engineering']",30987,9EtVi2wAAAAJ
Dick KP Yue,MIT,@mit.edu,"['Wave hydrodynamics', 'ocean fluid mechanics', 'naval architecture', 'ocean engineering']",13439,cyJkf_YAAAAJ
Ian R Young,University of Melbourne,@unimelb.edu.au,"['Coastal Engineering', 'Ocean Engineering', 'Physical Oceanography']",11583,6KBL2woAAAAJ
Nicholas M. Patrikalakis,"Massachusetts Institute of Technology, Department of Mechanical Engineering",@mit.edu,"['Geometric & Solid Modeling', 'Visualization', 'Robotics', 'Design', 'Ocean Engineering']",9129,cAaRCiUAAAAJ
Vasily Titov,NOAA,@noaa.gov,"['numerical modeling', 'natural hazards', 'oceanography', 'ocean engineering', 'tsunami']",8814,dMw4D5kAAAAJ
Michael P. Schultz,"Professor, Naval Arch. & Ocean Eng. Dept., US Naval Academy",@usna.edu,"['Turbulence', 'Experimental Fluid Mechanics', 'Experimental Fluid Dynamics', 'Biofouling', 'Ocean Engineering']",8781,_Nhf4R8AAAAJ
RAUL MEDINA,universidad de cantabria,@unican.es,['ocean engineering'],8482,p2wbqsUAAAAJ
Hitoshi Gotoh,Kyoto University,@particle.kuciv.kyoto-u.ac.jp,"['coastal engineering', 'ocean engineering', 'computational fluid dynamics', 'particle methods', 'SPH']",8044,4HS8gpIAAAAJ
Hamn-Ching Chen,"Professor of Civil Engineering and Ocean Engineering, Texas A&M University",@civil.tamu.edu,"['Computational Fluid Dynamics', 'Ocean Engineering', 'Fluid-Structure Interactions', 'Hydraulic engineering']",7953,ZCehB2oAAAAJ
Pengzhi Lin,Professor of Sichuan University,@scu.edu.cn,"['Hydraulics', 'computational fluid dynamics', 'coastal engineering', 'ocean engineering']",7573,3wRV9PEAAAAJ
LIANG WANG,Tsinghua University,@mail.tsinghua.edu.cn,"['Fluid mechanics', 'Computational fluid dynamics']",140754,4LV7HnAAAAAJ
Thomas JR Hughes,"Peter O'Donnell Jr. Chair in Computational and Applied Mathematics, University of Texas at …",@ices.utexas.edu,"['Finite Element Methods', 'Solid Mechanics', 'Computational Fluid Dynamics', 'Partial Differential Equations', 'Isogeometric Analysis']",133575,6tPdlYAAAAAJ
Parviz Moin,Stanford University,@stanford.edu,"['Turbulent flows', 'Fluid Mechanics', 'Turbulence', 'Computational Fluid Dynamics']",84537,X-t_mggAAAAJ
Alfio Quarteroni,"Professor of Mathematics, Politecnico di Milano, Milan, Italy and EPFL, Lausanne …",@polimi.it,"['Applied Mathematics', 'Mathematical Modeling', 'Scientific Computing', 'Computational Fluid Dynamics']",53582,U-iDlKcAAAAJ
Brandon Allen,MIT,@mit.edu,"['experimental particle physics', 'computational fluid dynamics']",47042,MAyZ5y0AAAAJ
Antonio Marquina,"Professor Applied Mathematics, University of Valencia, Universitat de Valencia",@uv.es,"['Computational Fluid Dynamics', 'Variational models for signal processing', 'Computational methods for data analysis']",42886,id3NL1oAAAAJ
Yen-Sen Chen,National Space Organization,@narlabs.org.tw,"['Launch Vehicle', 'Aerospace Propulsion', 'Computational Fluid Dynamics', 'Turbulence Modeling', 'Hypersonic Flows']",40549,yZyGqEIAAAAJ
